id,name,collection,team,country,role,aim,hs,movement,aggression,acs,gamesense
300,Babyblue,Base Card,no_team,cn,initiator,68.28,62.63,74.98,71.34,73.34,64.64
301,Yoyo,Base Card,no_team,tw,flex,67.69,64.80,65.81,63.96,68.43,62.79
302,monk,Base Card,no_team,cn,flex,69.01,62.61,68.07,66.18,67.53,72.97
303,Swerl,Base Card,no_team,ir,duelist,77.26,68.28,70.50,74.05,60.63,47.74
304,Shr1mp,Base Card,no_team,cn,initiator,65.80,59.30,71.39,67.79,72.02,74.22
305,Spitfires,Base Card,no_team,cn,duelist,76.40,66.07,72.70,69.47,62.20,48.23
306,Nizzy,Base Card,no_team,vn,flex,74.20,70.93,76.61,72.90,76.55,72.54
307,Zesbeew,Base Card,no_team,sg,controller,58.32,60.32,65.52,50.98,73.15,83.48
308,KellyS,Base Card,no_team,ph,sentinel,70.23,77.04,68.30,53.57,62.89,80.80
309,Dep,Base Card,no_team,jp,sentinel,72.46,79.68,70.38,55.46,65.76,75.14
310,Kess,Base Card,no_team,kr,flex,72.90,68.40,72.75,66.81,73.17,69.72
311,Dantedeu5,Base Card,no_team,ar,duelist,80.12,71.28,72.86,75.66,62.63,50.03
312,trexx,Base Card,no_team,ru,initiator,65.52,61.88,72.03,68.56,74.15,64.48
313,NoMan,Base Card,no_team,hk,flex,78.19,76.24,76.87,75.94,79.99,73.35
314,NicoMachine,Base Card,no_team,cl,initiator,53.04,50.81,59.68,57.17,61.46,64.45
315,Yeah,Base Card,no_team,br,duelist,67.29,60.20,66.70,64.06,55.77,64.07
316,phc,Base Card,no_team,br,controller,56.86,56.08,62.64,56.08,67.60,53.28
317,benG,Base Card,no_team,cl,sentinel,66.70,73.18,64.25,54.40,59.71,45.72
318,mta,Base Card,no_team,cl,flex,67.84,61.55,66.16,63.87,64.72,67.85
319,vaiZ,Base Card,no_team,cl,initiator,54.78,53.49,62.02,59.37,60.73,52.81
320,murizzz,Base Card,no_team,br,flex,60.02,55.77,58.89,57.32,58.52,58.73
321,snw,Base Card,no_team,br,duelist,73.54,65.16,68.81,68.54,56.91,57.34
322,David,Base Card,no_team,cl,controller,52.06,51.18,55.73,49.49,63.18,68.61
323,rubkkoide,Base Card,no_team,ar,sentinel,60.96,67.83,58.18,53.88,58.07,45.63
324,Tacolilla,Base Card,no_team,cl,duelist,67.24,57.41,61.92,63.40,53.99,58.15
325,Suther,Base Card,no_team,cl,flex,55.01,51.59,56.15,51.48,55.74,53.09
326,delz1k,Base Card,no_team,cl,controller,59.72,58.25,62.71,58.25,68.92,45.16
327,NagZet,Base Card,no_team,cl,sentinel,65.61,73.51,63.73,52.04,59.41,64.93
328,Klaus,Base Card,no_team,ar,initiator,57.69,55.61,66.30,62.68,65.75,65.08
329,jotinha,Base Card,no_team,ar,flex,61.33,58.68,61.41,60.73,63.06,57.88
330,Neto,Base Card,no_team,ar,duelist,66.50,58.76,63.20,63.68,51.27,44.89
331,mizu,Base Card,no_team,ar,sentinel,59.43,64.93,58.22,51.62,53.48,61.71
332,HANLING,Base Card,no_team,ar,flex,60.99,57.47,60.31,59.60,59.76,58.38
333,bnj,Base Card,no_team,ar,controller,51.72,50.21,54.45,49.57,60.46,66.79
334,kivary,Base Card,no_team,cl,flex,61.43,58.40,60.80,59.62,61.07,57.89
335,miyeon,Base Card,no_team,cl,flex,61.86,61.98,64.93,61.84,63.98,60.12
336,deigara,Base Card,no_team,ar,flex,60.24,58.87,61.83,57.85,61.28,58.32
337,Crazy NY,Base Card,no_team,cl,flex,60.99,57.10,60.84,59.17,61.20,59.49
338,Tinchoff,Base Card,no_team,ar,sentinel,55.80,62.88,54.65,50.24,51.04,56.91
339,Tuli,Base Card,no_team,cl,duelist,69.24,61.20,64.75,64.59,56.85,46.08
340,Cebando,Base Card,no_team,ar,controller,52.90,50.54,58.72,49.80,63.16,70.90
341,Mited,Base Card,no_team,co,initiator,57.45,55.34,61.90,61.02,63.91,54.33
342,Feniz,Base Card,no_team,cr,sentinel,54.95,61.87,51.74,49.99,49.99,56.46
343,Darker,Base Card,no_team,co,flex,57.78,52.35,57.91,53.47,55.43,49.65
344,mixyce,Base Card,no_team,br,initiator,50.88,50.54,57.36,55.38,56.77,50.54
345,Bruxo,Base Card,no_team,br,duelist,61.18,55.72,58.87,58.79,49.23,45.75
346,sanoj,Base Card,no_team,br,sentinel,53.07,60.03,51.91,49.81,50.45,54.01
347,Loweed,Base Card,no_team,br,flex,55.38,52.47,55.53,54.91,56.55,51.45
348,Renna,Base Card,no_team,br,flex,52.21,50.93,52.96,51.68,53.30,53.01
349,guuih,Base Card,no_team,br,sentinel,51.93,56.16,50.44,50.42,50.42,50.14
350,Siduzord,Base Card,no_team,br,initiator,49.32,49.32,53.23,52.38,54.26,57.48
351,Zanatsu,Base Card,no_team,br,duelist,65.01,59.38,60.10,60.00,54.04,46.00
352,Tisora,Base Card,no_team,br,flex,61.34,58.70,60.44,58.96,59.80,52.09
353,raafa,Base Card,no_team,br,controller,49.94,49.94,49.94,49.94,49.94,54.26
354,havoc,Base Card,no_team,br,sentinel,61.95,68.01,57.29,51.62,54.38,62.11
355,PxS,Base Card,no_team,us,initiator,55.13,54.47,59.91,59.86,62.31,53.93
356,kon4n,Base Card,no_team,br,flex,55.56,51.46,53.00,51.46,53.28,51.70
357,dgzin,Base Card,no_team,br,duelist,83.77,73.40,77.80,77.68,66.51,51.95
358,Reduxx,Base Card,no_team,us,duelist,75.82,65.40,70.88,71.62,60.31,47.03
359,NiSMO,Base Card,no_team,ca,flex,68.77,62.95,67.24,64.67,66.00,62.84
360,nightz,Base Card,no_team,us,controller,60.05,61.12,67.29,56.61,74.22,59.02
361,Kyu,Base Card,no_team,ca,initiator,58.97,57.39,64.91,62.48,68.15,62.67
362,satellite,Base Card,no_team,ca,sentinel,64.63,69.01,60.19,53.74,59.94,50.88
363,chloric,Base Card,no_team,us,flex,55.47,55.61,56.45,55.71,57.36,60.52
364,RENZ,Base Card,no_team,us,duelist,68.74,61.13,62.92,63.27,54.31,55.92
365,Wildfire,Base Card,no_team,ua,initiator,54.69,53.40,60.13,58.76,59.44,53.68
366,Ange,Base Card,no_team,ca,controller,52.69,50.49,51.97,50.49,54.03,58.34
367,geeza,Base Card,no_team,us,sentinel,61.62,69.17,60.76,52.75,57.12,46.03
368,stax,Masters Bangkok 2025,t1,kr,initiator,81.89,80.98,91.91,86.75,94.44,102.39
369,Meteor,Masters Bangkok 2025,t1,kr,sentinel,98.20,107.43,90.40,74.53,89.42,80.69
370,Sylvan,Masters Bangkok 2025,t1,kr,controller,77.73,78.06,89.64,66.77,98.80,95.73
371,BuZz,Masters Bangkok 2025,t1,kr,duelist,97.06,87.63,93.83,94.14,80.21,61.80
372,iZu,Masters Bangkok 2025,t1,kr,flex,89.79,86.77,91.75,86.56,88.94,86.29
373,johnqt,Champions 2024,sentinels,ma,sentinel,84.19,94.99,81.26,65.15,77.02,78.63
374,Sacy,Champions 2024,sentinels,br,initiator,72.00,71.64,83.97,80.21,82.28,96.07
375,TenZ,Champions 2024,sentinels,us,controller,81.90,80.88,89.70,70.03,96.58,71.24
376,Zellsis,Champions 2024,sentinels,us,flex,80.52,76.85,78.88,75.80,79.69,84.59
377,zekken,Champions 2024,sentinels,us,duelist,93.42,82.69,86.38,87.49,77.97,58.07
378,Mazino,Champions 2024,leviatan,cl,flex,83.32,80.05,81.90,77.85,84.28,84.56
379,aspas,Champions 2024,leviatan,br,duelist,96.98,83.26,88.63,92.28,74.97,70.34
380,tex,Champions 2024,leviatan,de,sentinel,91.06,99.61,83.61,68.72,80.40,58.72
381,C0M,Champions 2024,leviatan,us,initiator,71.56,68.38,81.81,76.02,78.46,80.99
382,kiNgg,Champions 2024,leviatan,cl,controller,72.49,72.29,81.43,59.56,91.44,97.28
383,Boo,Champions 2024,heretics,lt,controller,73.10,71.93,79.69,60.13,90.92,99.46
384,MiniBoo,Champions 2024,heretics,lt,duelist,93.17,85.03,90.12,87.89,77.15,59.89
385,Wo0t,Champions 2024,heretics,tr,flex,91.56,83.56,92.65,85.58,89.53,79.88
386,RieNs,Champions 2024,heretics,tr,initiator,83.44,77.96,90.24,87.19,89.24,88.61
387,benjyfishy,Champions 2024,heretics,england,sentinel,90.24,99.56,83.62,69.33,82.08,84.78
388,nobody,Champions 2024,edg,cn,initiator,82.67,75.33,93.51,87.32,90.24,109.52
389,ZmjjKK,Champions 2024,edg,cn,duelist,104.68,96.38,98.53,100.13,87.14,67.71
390,CHICHOO,Champions 2024,edg,cn,sentinel,97.25,106.76,91.76,72.63,88.71,97.30
391,Smoggy,Champions 2024,edg,cn,controller,89.14,88.26,95.82,73.65,106.98,86.20
392,S1Mon,Champions 2024,edg,cn,flex,90.94,90.78,91.06,87.58,92.76,81.80
393,Boostio,Masters Shanghai 2024,100t,us,sentinel,80.26,88.26,76.02,60.97,71.52,94.74
394,bang,Masters Shanghai 2024,100t,ca,controller,78.61,75.65,87.26,65.32,94.87,81.68
395,Cryo,Masters Shanghai 2024,100t,us,duelist,92.54,80.04,83.78,83.69,73.31,72.21
396,eeiu,Masters Shanghai 2024,100t,ca,initiator,76.55,73.34,84.18,82.45,85.45,76.74
397,Asuna,Masters Shanghai 2024,100t,us,flex,86.06,80.13,85.92,81.00,86.49,58.75
398,valyn,Masters Shanghai 2024,g2,us,controller,73.22,73.46,78.42,58.21,90.82,95.41
399,icy,Masters Shanghai 2024,g2,us,duelist,86.81,79.43,82.43,85.65,71.66,55.81
400,trent,Masters Shanghai 2024,g2,us,initiator,80.29,76.12,88.66,83.24,90.02,81.34
401,JonahP,Masters Shanghai 2024,g2,ca,flex,87.50,82.65,84.89,82.21,83.78,88.98
402,leaf,Masters Shanghai 2024,g2,us,sentinel,89.59,99.09,85.70,70.73,82.99,76.67
403,Boo,Masters Shanghai 2024,heretics,lt,controller,71.86,72.93,80.46,61.09,91.59,99.94
404,paTiTek,Masters Shanghai 2024,heretics,pl,initiator,85.98,79.45,92.13,86.00,91.19,80.30
405,Wo0t,Masters Shanghai 2024,heretics,tr,flex,92.36,89.55,92.10,88.41,96.47,79.10
406,RieNs,Masters Shanghai 2024,heretics,tr,initiator,83.59,79.11,93.41,87.53,94.29,91.30
407,benjyfishy,Masters Shanghai 2024,heretics,england,sentinel,89.04,97.32,88.18,68.44,81.38,90.48
408,Munchkin,Masters Shanghai 2024,geng,kr,flex,87.34,84.39,90.47,85.98,89.41,105.67
409,Meteor,Masters Shanghai 2024,geng,kr,sentinel,96.72,110.04,95.94,74.76,91.12,79.69
410,Lakia,Masters Shanghai 2024,geng,kr,initiator,82.37,77.16,92.65,83.56,91.78,93.82
411,t3xture,Masters Shanghai 2024,geng,kr,duelist,101.41,96.22,97.67,97.04,85.41,64.37
412,Karon,Masters Shanghai 2024,geng,kr,controller,89.62,88.60,95.12,74.70,106.21,86.31
413,P0PPIN,Base Card,no_team,us,initiator,68.54,64.64,73.30,69.71,73.50,80.03
414,canezerra,Base Card,no_team,us,flex,74.27,71.91,75.22,72.70,75.43,71.04
415,Eggster,Base Card,no_team,us,duelist,74.99,67.92,74.16,74.76,62.61,46.46
416,Inspire,Base Card,no_team,us,sentinel,74.30,80.84,70.43,55.91,66.53,73.01
417,ion2x,Base Card,no_team,us,controller,66.34,64.17,72.78,56.39,79.99,64.70
418,Dark3st,Base Card,no_team,us,flex,63.87,61.00,63.02,60.40,63.73,71.43
419,nerve,Base Card,no_team,us,initiator,60.09,54.36,64.92,61.00,66.55,55.00
420,Logan,Base Card,no_team,us,sentinel,64.43,68.22,57.94,51.19,57.38,63.62
421,alym,Base Card,no_team,ca,duelist,71.76,66.01,67.99,66.72,58.83,45.82
422,toozy,Base Card,no_team,ca,controller,56.06,55.37,61.64,53.90,67.97,62.84
423,qpert,Base Card,no_team,rs,controller,53.80,53.54,59.23,50.97,64.21,70.45
424,NINJA,Base Card,no_team,pl,initiator,62.52,58.19,66.36,66.05,67.63,56.62
425,rexxtoned,Base Card,no_team,ru,sentinel,70.71,74.14,66.38,53.96,62.96,51.40
426,Donatello,Base Card,no_team,cz,duelist,73.38,63.81,68.75,66.98,57.64,46.07
427,GSR,Base Card,no_team,rs,duelist,68.94,63.54,66.37,68.06,56.51,45.95
428,Ziad,Base Card,no_team,eg,sentinel,70.57,74.19,66.37,53.77,62.19,59.23
429,Shazeon,Base Card,no_team,de,flex,62.86,62.25,66.00,63.32,64.46,68.79
430,prayy,Base Card,no_team,eu,duelist,70.31,65.16,69.97,67.22,58.32,46.92
431,stavros,Base Card,no_team,de,flex,61.94,61.15,64.26,58.88,65.14,61.55
432,cauanzin,Masters Madrid 2024,loud,br,initiator,78.06,71.71,86.75,81.65,87.12,74.42
433,Less,Masters Madrid 2024,loud,br,sentinel,87.87,97.85,86.27,69.38,79.06,87.60
434,tuyz,Masters Madrid 2024,loud,br,controller,76.89,76.21,83.45,65.21,91.18,80.94
435,Saadhak,Masters Madrid 2024,loud,ar,flex,80.33,75.40,81.70,77.80,81.95,93.05
436,qck,Masters Madrid 2024,loud,br,duelist,84.05,76.98,79.97,78.14,67.63,52.10
437,Monyet,Masters Madrid 2024,prx,id,flex,88.34,81.81,84.77,84.74,89.40,82.78
438,f0rsakeN,Masters Madrid 2024,prx,id,flex,86.36,84.03,88.87,84.17,90.89,88.15
439,d4v41,Masters Madrid 2024,prx,my,controller,80.67,77.17,89.07,66.19,95.17,86.72
440,something,Masters Madrid 2024,prx,ru,flex,92.62,89.07,92.65,84.31,88.90,85.55
441,mindfreak,Masters Madrid 2024,prx,id,sentinel,83.71,92.11,83.22,64.75,78.12,99.87
442,Munchkin,Masters Madrid 2024,geng,kr,flex,91.33,88.41,89.56,87.58,92.39,74.93
443,Meteor,Masters Madrid 2024,geng,kr,sentinel,92.31,102.32,87.34,72.20,84.56,84.47
444,Lakia,Masters Madrid 2024,geng,kr,initiator,75.51,72.28,83.97,76.83,84.04,102.79
445,t3xture,Masters Madrid 2024,geng,kr,duelist,98.56,85.08,89.56,91.60,78.43,61.34
446,Karon,Masters Madrid 2024,geng,kr,controller,79.09,81.03,89.96,65.31,98.74,91.50
447,johnqt,Masters Madrid 2024,sentinels,ma,sentinel,93.07,106.91,90.42,73.06,86.81,87.05
448,Sacy,Masters Madrid 2024,sentinels,br,initiator,81.59,80.36,91.15,90.03,93.96,106.19
449,TenZ,Masters Madrid 2024,sentinels,us,controller,93.80,91.26,99.35,79.21,111.41,79.68
450,Zellsis,Masters Madrid 2024,sentinels,us,flex,91.60,86.61,91.87,87.68,91.13,92.18
451,zekken,Masters Madrid 2024,sentinels,us,duelist,102.30,95.74,101.53,98.38,85.69,64.36
452,Boaster,Champions 2023,fnatic,gb,controller,73.54,70.89,80.25,58.97,86.94,99.69
453,Derke,Champions 2023,fnatic,fi,duelist,95.97,85.28,91.79,90.78,75.78,57.87
454,Chronicle,Champions 2023,fnatic,ru,flex,85.86,83.15,85.13,80.08,85.64,82.10
455,Alfajer,Champions 2023,fnatic,tr,sentinel,92.57,97.32,87.60,70.59,83.90,77.78
456,Leo,Champions 2023,fnatic,se,initiator,83.31,78.08,94.14,86.95,92.52,86.65
457,cauanzin,Champions 2023,loud,br,initiator,82.58,80.00,91.67,89.04,92.55,82.83
458,Less,Champions 2023,loud,br,sentinel,95.04,106.07,88.82,73.51,87.09,93.66
459,tuyz,Champions 2023,loud,br,controller,86.42,88.18,95.81,75.21,107.49,64.00
460,Saadhak,Champions 2023,loud,ar,flex,88.13,78.91,86.55,83.14,86.96,100.70
461,aspas,Champions 2023,loud,br,duelist,99.29,88.37,94.42,91.82,83.29,80.40
462,Jinggg,Champions 2023,prx,sg,duelist,98.14,93.87,98.53,96.19,83.09,62.74
463,f0rsakeN,Champions 2023,prx,id,flex,97.02,87.64,92.21,87.89,96.17,89.32
464,d4v41,Champions 2023,prx,my,flex,94.52,89.21,96.71,88.17,92.83,88.58
465,something,Champions 2023,prx,ru,flex,98.28,92.96,97.88,90.90,95.30,87.87
466,mindfreak,Champions 2023,prx,id,controller,77.42,80.09,88.33,63.85,95.05,105.85
467,Ethan,Champions 2023,eg,us,flex,93.54,89.60,96.66,87.86,92.99,96.79
468,jawgemo,Champions 2023,eg,kh,controller,89.76,89.94,101.96,78.81,111.49,82.37
469,C0M,Champions 2023,eg,us,initiator,87.68,80.67,92.61,89.08,94.09,89.54
470,Boostio,Champions 2023,eg,us,sentinel,96.36,103.31,93.28,69.69,85.40,106.41
471,Demon1,Champions 2023,eg,ru,duelist,104.64,97.44,103.73,104.66,87.03,67.01
472,valyn,Triple Crown: Americas 2025,g2,us,controller,86.84,84.75,91.87,69.25,101.99,109.62
473,trent,Triple Crown: Americas 2025,g2,us,initiator,92.22,87.18,99.45,97.94,98.05,84.54
474,JonahP,Triple Crown: Americas 2025,g2,ca,flex,98.22,90.79,93.75,93.32,97.80,102.56
475,leaf,Triple Crown: Americas 2025,g2,us,sentinel,100.93,107.88,96.03,76.09,95.51,99.70
476,jawgemo,Triple Crown: Americas 2025,g2,kh,duelist,102.17,96.81,98.43,98.69,84.38,65.93
477,babybay,Triple Crown: Americas 2025,g2,us,sentinel,109.35,110.77,105.87,78.27,100.75,92.16
478,crashies,Valorant Masters Tokyo 2023,nrg,us,initiator,81.06,74.70,87.99,83.17,87.56,80.90
479,Victor,Valorant Masters Tokyo 2023,nrg,us,flex,86.78,83.02,88.19,83.82,89.14,78.65
480,ardiis,Valorant Masters Tokyo 2023,nrg,lv,duelist,90.43,83.01,86.92,89.32,74.31,56.93
481,FNS,Valorant Masters Tokyo 2023,nrg,ca,sentinel,78.53,87.15,74.79,61.43,73.25,97.65
482,s0m,Valorant Masters Tokyo 2023,nrg,us,controller,82.50,80.46,90.34,69.14,100.26,82.94
483,Jinggg,Valorant Masters Tokyo 2023,prx,sg,duelist,98.01,86.67,94.41,95.02,76.65,62.86
484,f0rsakeN,Valorant Masters Tokyo 2023,prx,id,flex,90.44,89.23,93.61,86.68,93.82,89.22
485,d4v41,Valorant Masters Tokyo 2023,prx,my,flex,87.54,85.33,90.83,85.85,91.41,82.52
486,cgrs,Valorant Masters Tokyo 2023,prx,th,flex,85.31,82.28,84.61,80.46,82.76,82.47
487,mindfreak,Valorant Masters Tokyo 2023,prx,id,controller,78.34,76.59,84.46,63.41,91.94,101.38
488,Ethan,Valorant Masters Tokyo 2023,eg,us,flex,90.56,87.71,89.36,89.72,90.47,92.93
489,jawgemo,Valorant Masters Tokyo 2023,eg,kh,controller,91.08,92.01,100.86,75.91,105.38,75.63
490,C0M,Valorant Masters Tokyo 2023,eg,us,initiator,81.24,76.23,89.61,85.32,90.20,86.84
491,Boostio,Valorant Masters Tokyo 2023,eg,us,sentinel,95.11,101.20,86.03,68.94,81.71,105.03
492,Demon1,Valorant Masters Tokyo 2023,eg,ru,duelist,101.81,91.77,97.58,95.65,78.96,63.96
493,Boaster,Valorant Masters Tokyo 2023,fnatic,gb,controller,76.21,77.26,85.53,61.20,93.34,99.63
494,Derke,Valorant Masters Tokyo 2023,fnatic,fi,duelist,100.76,93.70,94.98,98.73,85.54,66.13
495,Chronicle,Valorant Masters Tokyo 2023,fnatic,ru,flex,90.09,88.72,93.20,83.81,91.22,88.34
496,Alfajer,Valorant Masters Tokyo 2023,fnatic,tr,sentinel,100.64,105.75,93.53,75.91,86.52,99.36
497,Leo,Valorant Masters Tokyo 2023,fnatic,se,initiator,86.87,86.06,95.45,94.91,94.99,84.72
498,PatMen,Valorant Champions 2025,prx,ph,initiator,79.79,76.72,87.10,82.09,86.08,82.08
499,Jinggg,Valorant Champions 2025,prx,sg,duelist,92.63,83.37,86.97,89.12,78.05,56.89
500,f0rsakeN,Valorant Champions 2025,prx,id,flex,87.25,81.06,84.70,81.31,83.29,87.78
501,d4v41,Valorant Champions 2025,prx,my,sentinel,90.31,97.76,85.15,66.08,78.08,73.96
502,something,Valorant Champions 2025,prx,ru,duelist,89.31,81.20,88.79,83.98,72.24,61.35
503,MaKo,Valorant Champions 2025,drx,kr,controller,73.62,72.82,83.06,58.39,90.15,98.82
504,free1ng,Valorant Champions 2025,drx,kr,initiator,81.71,75.31,92.80,84.37,92.52,87.31
505,HYUNMIN,Valorant Champions 2025,drx,kr,duelist,93.43,85.41,89.64,92.58,79.37,61.58
506,Flashback,Valorant Champions 2025,drx,kr,flex,90.72,86.50,90.54,85.34,92.32,77.04
507,BeYN,Valorant Champions 2025,drx,kr,sentinel,86.29,95.82,83.44,65.90,80.26,88.58
508,Boaster,Valorant Champions 2025,fnatic,gb,controller,80.10,79.35,88.22,68.00,96.04,81.22
509,kaajak,Valorant Champions 2025,fnatic,pl,duelist,99.69,91.02,96.21,97.27,80.15,63.90
510,Chronicle,Valorant Champions 2025,fnatic,ru,flex,87.96,87.14,88.92,84.90,88.38,100.46
511,Alfajer,Valorant Champions 2025,fnatic,tr,sentinel,91.77,100.88,86.51,71.80,85.07,91.02
512,crashies,Valorant Champions 2025,fnatic,us,initiator,82.52,79.11,94.66,88.16,92.37,87.47
513,Ethan,Valorant Champions 2025,nrg,us,flex,93.40,86.51,91.81,88.90,91.48,108.75
514,s0m,Valorant Champions 2025,nrg,us,controller,85.49,83.61,96.95,72.57,104.08,92.14
515,brawk,Valorant Champions 2025,nrg,us,initiator,90.75,85.36,99.30,91.72,100.10,95.68
516,mada,Valorant Champions 2025,nrg,ca,duelist,102.22,92.78,96.56,92.37,80.29,64.12
517,skuba,Valorant Champions 2025,nrg,us,sentinel,95.10,107.70,91.50,73.78,85.03,84.08
518,ANGE1,VCT LOCK//IN São Paulo,navi,ua,controller,87.09,83.60,92.94,72.94,100.63,57.26
519,Shao,VCT LOCK//IN São Paulo,navi,united_nations,initiator,79.84,77.51,90.00,84.86,88.57,82.71
520,Zyppan,VCT LOCK//IN São Paulo,navi,tr,flex,83.04,77.62,83.91,80.53,85.67,90.00
521,SUYGETSU,VCT LOCK//IN São Paulo,navi,tr,sentinel,90.26,96.37,84.50,68.23,80.46,93.01
522,cNed,VCT LOCK//IN São Paulo,navi,tr,duelist,90.99,83.08,88.05,84.82,73.56,76.17
523,MaKo,VCT LOCK//IN São Paulo,drx,kr,controller,77.06,77.44,83.06,64.79,93.26,101.41
524,Rb,VCT LOCK//IN São Paulo,drx,kr,flex,86.39,82.97,87.14,78.66,86.75,80.09
525,BuZz,VCT LOCK//IN São Paulo,drx,kr,duelist,92.64,85.25,90.74,87.33,78.46,57.90
526,stax,VCT LOCK//IN São Paulo,drx,kr,flex,85.86,79.15,85.16,78.34,83.11,80.02
527,Zest,VCT LOCK//IN São Paulo,drx,kr,flex,80.60,76.75,83.69,79.18,83.37,79.76
528,cauanzin,VCT LOCK//IN São Paulo,loud,br,initiator,87.38,81.41,92.71,89.19,94.65,79.60
529,Less,VCT LOCK//IN São Paulo,loud,br,sentinel,99.46,108.57,89.98,71.74,89.61,98.86
530,tuyz,VCT LOCK//IN São Paulo,loud,br,controller,89.89,90.82,101.89,78.58,107.35,66.26
531,Saadhak,VCT LOCK//IN São Paulo,loud,ar,flex,87.20,83.46,85.17,80.44,86.50,103.42
532,aspas,VCT LOCK//IN São Paulo,loud,br,duelist,99.26,94.11,97.16,95.69,80.63,86.48
533,Boaster,VCT LOCK//IN São Paulo,fnatic,gb,controller,77.31,77.04,83.93,62.54,91.95,103.07
534,Derke,VCT LOCK//IN São Paulo,fnatic,fi,duelist,101.35,93.44,97.01,97.18,80.53,85.68
535,Chronicle,VCT LOCK//IN São Paulo,fnatic,ru,flex,84.96,84.50,88.85,80.66,89.64,95.36
536,Alfajer,VCT LOCK//IN São Paulo,fnatic,tr,sentinel,99.00,104.56,92.67,77.18,88.51,63.52
537,Leo,VCT LOCK//IN São Paulo,fnatic,se,initiator,91.56,85.73,99.42,94.62,98.69,85.94
538,KROSTALY,Base Card,no_team,tr,flex,72.02,69.05,70.84,66.15,71.32,72.53
539,baha,Base Card,no_team,tr,controller,68.36,66.65,74.84,56.75,80.45,69.06
540,Jieni7,Base Card,no_team,cn,flex,70.37,70.66,72.84,70.15,71.21,69.54
541,CoCo,Base Card,no_team,cn,flex,70.29,64.45,67.25,66.28,70.32,73.92
542,lucas,Base Card,no_team,cn,initiator,68.90,64.53,75.52,72.02,75.79,64.74
543,Francis,Base Card,no_team,kr,flex,73.32,66.82,70.90,67.33,69.31,68.60
544,Xross,Base Card,no_team,kr,controller,60.55,59.17,68.27,50.15,74.59,82.91
545,Flicker,Base Card,no_team,kr,duelist,79.39,70.86,73.75,75.37,64.19,52.01
546,xavi8k,Base Card,no_team,ph,flex,72.49,68.60,72.27,69.27,75.21,75.07
547,eKo,Base Card,no_team,kr,duelist,78.07,73.20,75.24,74.05,64.47,51.27
548,naTz,Base Card,no_team,id,sentinel,72.06,81.29,68.67,54.44,65.02,70.88
549,blowz,Base Card,no_team,br,initiator,69.73,67.63,77.60,75.50,75.23,76.21
550,Neon,Base Card,no_team,ar,flex,81.60,79.33,81.05,76.80,79.51,68.57
551,babybay,Base Card,no_team,us,sentinel,73.71,81.06,71.33,57.50,69.66,68.08
552,ANGE1,Eternal Heroes,navi,ua,controller,96.48,89.57,93.53,91.64,98.59,107.31
553,FNS,Eternal Heroes,nrg,ca,sentinel,98.32,93.33,96.07,98.02,96.96,109.96
554,Sacy,Eternal Heroes,sentinels,br,initiator,96.43,93.94,101.90,100.19,100.33,109.99
555,TenZ,Eternal Heroes,sentinels,us,duelist,106.61,104.10,106.62,106.62,93.81,71.68
556,ANGE1,Valorant Champions 2022,fpx,ua,controller,71.25,73.42,78.86,60.12,89.33,95.55
557,Shao,Valorant Champions 2022,fpx,united_nations,initiator,82.73,76.90,88.28,85.45,90.72,76.09
558,Zyppan,Valorant Champions 2022,fpx,tr,flex,88.09,81.26,85.40,83.32,86.94,81.45
559,SUYGETSU,Valorant Champions 2022,fpx,tr,sentinel,91.61,101.24,84.37,69.14,80.09,87.91
560,ardiis,Valorant Champions 2022,fpx,lv,duelist,94.69,85.71,87.19,86.20,75.97,56.25
561,MaKo,Valorant Champions 2022,drx,kr,controller,78.66,78.00,84.83,63.70,96.29,101.53
562,Rb,Valorant Champions 2022,drx,kr,flex,87.04,79.81,85.33,78.82,87.63,81.74
563,BuZz,Valorant Champions 2022,drx,kr,duelist,96.81,84.34,92.56,90.97,77.56,60.64
564,stax,Valorant Champions 2022,drx,kr,flex,86.07,80.35,87.17,82.63,85.20,80.58
565,Zest,Valorant Champions 2022,drx,kr,flex,87.18,81.02,86.85,80.38,88.03,82.43
566,yay,Valorant Champions 2022,optic,us,sentinel,99.27,104.96,91.41,73.36,87.34,82.68
567,Marved,Valorant Champions 2022,optic,ca,controller,86.08,87.28,94.70,74.33,104.17,86.09
568,crashies,Valorant Champions 2022,optic,us,initiator,85.68,79.86,97.07,89.26,91.83,87.96
569,Victor,Valorant Champions 2022,optic,us,flex,91.06,86.16,89.76,82.69,86.72,94.34
570,FNS,Valorant Champions 2022,optic,ca,sentinel,87.36,92.57,80.67,63.58,79.85,103.91
571,Sacy,Valorant Champions 2022,loud,br,initiator,90.84,84.21,98.59,93.17,99.31,109.75
572,Less,Valorant Champions 2022,loud,br,sentinel,103.01,110.30,96.19,77.73,91.98,90.01
573,pANcada,Valorant Champions 2022,loud,br,controller,92.66,88.43,99.96,75.54,110.48,88.83
574,Saadhak,Valorant Champions 2022,loud,ar,flex,90.06,89.35,90.58,87.18,94.87,101.04
575,aspas,Valorant Champions 2022,loud,br,duelist,102.55,96.62,101.25,100.29,86.41,63.66
576,Boaster,Valorant Masters Copenhagen 2022,fnatic,gb,controller,71.37,68.70,80.84,57.04,86.55,95.71
577,Derke,Valorant Masters Copenhagen 2022,fnatic,fi,duelist,96.73,87.12,88.67,89.83,76.64,57.91
